player_price,fixed_round,player_position_1,player_position_2,player_position_3,player_position_4,status_mapped_ok,status_mapped_doubt,status_mapped_sanctioned,puntuacion_media_roll_avg_3,minutes_played_roll_avg_3,prediction_target_puntuacion_media_roll_avg,calculated_injury_severity,player_team_strength,recent_price_change_1,price_change_time_ratio,season,player
3370000,33,False,True,False,False,True,False,False,4.0,90.0,4.0,0,213,50000,0.18768768768768768,2022,a-catena
3560000,34,False,True,False,False,True,False,False,5.333333333333333,90.0,3.6666666666666665,0,213,190000,0.3188989593823431,2022,a-catena
3710000,35,False,True,False,False,True,False,False,5.333333333333333,90.0,2.6666666666666665,0,213,150000,0.254841997961264,2022,a-catena
3840000,1,False,True,False,False,True,False,False,,,4.666666666666667,0,213,0,0.0,2023,a-catena
4050000,2,False,True,False,False,True,False,False,,,4.666666666666667,0,213,210000,0.40792540792540793,2023,a-catena
4440000,3,False,True,False,False,True,False,False,,,4.0,0,213,390000,0.5657093124456049,2023,a-catena
4450000,4,False,True,False,False,True,False,False,5.666666666666667,90.0,3.3333333333333335,0,213,10000,0.014894250819183795,2023,a-catena
4290000,5,False,True,False,False,True,False,False,4.666666666666667,90.0,4.333333333333333,0,213,-160000,-0.30864197530864196,2023,a-catena
4410000,6,False,True,False,False,True,False,False,4.666666666666667,90.0,5.333333333333333,0,213,120000,0.19047619047619047,2023,a-catena
3770000,7,False,True,False,False,True,False,False,4.0,90.0,5.333333333333333,0,213,-640000,-0.46296296296296297,2023,a-catena
3570000,8,False,True,False,False,True,False,False,3.3333333333333335,90.0,4.666666666666667,0,213,-200000,-0.4916420845624385,2023,a-catena
3640000,9,False,True,False,False,True,False,False,4.333333333333333,90.0,5.333333333333333,0,213,70000,0.1287711552612215,2023,a-catena
3690000,10,False,True,False,False,True,False,False,5.333333333333333,90.0,5.666666666666667,0,213,50000,0.14467592592592593,2023,a-catena
3740000,11,False,True,False,False,True,False,False,5.333333333333333,90.0,5.0,0,213,50000,0.1560549313358302,2023,a-catena
3910000,12,False,True,False,False,True,False,False,4.666666666666667,90.0,3.0,0,213,170000,0.27375201288244766,2023,a-catena
4420000,13,False,True,False,False,True,False,False,5.333333333333333,90.0,3.0,0,213,510000,0.6454062262718299,2023,a-catena
4550000,14,False,True,False,False,True,False,False,5.666666666666667,90.0,3.3333333333333335,0,213,130000,0.5158730158730159,2023,a-catena
3990000,15,False,True,False,False,True,False,False,5.0,90.0,4.333333333333333,0,213,-560000,-0.13250047321597577,2023,a-catena
3430000,16,False,True,False,False,True,False,False,3.0,60.0,5.333333333333333,0,213,-560000,-0.6501799605247881,2023,a-catena
3530000,17,False,True,False,False,True,False,False,3.0,60.0,5.666666666666667,0,213,100000,0.1959631589261219,2023,a-catena
3710000,18,False,True,False,False,True,False,False,3.3333333333333335,60.0,6.666666666666667,0,213,180000,0.2976190476190476,2023,a-catena
3800000,19,False,True,False,False,True,False,False,4.333333333333333,90.0,5.333333333333333,0,213,90000,0.11210762331838565,2023,a-catena
4020000,20,False,True,False,False,True,False,False,5.333333333333333,90.0,2.6666666666666665,0,213,220000,0.3637566137566138,2023,a-catena
4470000,21,False,True,False,False,True,False,False,5.666666666666667,90.0,0.6666666666666666,0,213,450000,0.9124087591240876,2023,a-catena
4970000,22,False,True,False,False,True,False,False,6.666666666666667,90.0,0.6666666666666666,0,213,500000,0.8157937673356176,2023,a-catena
5250000,23,False,True,False,False,True,False,False,5.333333333333333,90.0,1.6666666666666667,0,213,280000,0.5401234567901234,2023,a-catena
5135000,24,False,True,False,False,False,False,True,2.6666666666666665,89.66666666666667,3.6666666666666665,0,213,-115000,-0.16445016445016444,2023,a-catena
5020000,25,False,True,False,False,True,False,False,0.6666666666666666,59.666666666666664,3.6666666666666665,0,213,-115000,-0.22183641975308643,2023,a-catena
4940000,26,False,True,False,False,True,False,False,0.6666666666666666,59.666666666666664,4.0,0,213,-80000,-0.1340707223060164,2023,a-catena
4120000,27,False,True,False,False,True,False,False,1.6666666666666667,60.0,2.0,0,213,-820000,-0.5874346299878215,2023,a-catena
4090000,28,False,True,False,False,True,False,False,3.6666666666666665,90.0,3.3333333333333335,0,213,-30000,-0.05787037037037037,2023,a-catena
4140000,29,False,True,False,False,True,False,False,3.6666666666666665,84.33333333333333,1.6666666666666667,0,213,50000,0.11574074074074074,2023,a-catena
3990000,30,False,True,False,False,False,False,True,4.0,84.33333333333333,3.3333333333333335,0,213,-150000,-0.2198768689533861,2023,a-catena
3840000,31,False,True,False,False,True,False,False,2.0,54.333333333333336,1.6666666666666667,0,213,-150000,-0.4187604690117253,2023,a-catena
3920000,32,False,True,False,False,True,False,False,3.3333333333333335,60.0,3.3333333333333335,0,213,80000,0.33542976939203356,2023,a-catena
4010000,33,False,True,False,False,True,False,False,1.6666666666666667,51.0,3.0,0,213,90000,0.1988071570576541,2023,a-catena
4160000,34,False,True,False,False,True,False,False,3.3333333333333335,81.0,4.0,0,213,150000,0.15842839036755388,2023,a-catena
4240000,35,False,True,False,False,True,False,False,1.6666666666666667,81.0,3.0,0,213,80000,0.16220600162206,2023,a-catena
4580000,1,False,True,False,False,True,False,False,,,3.3333333333333335,0,293,0,0.0,2024,a-catena
4750000,2,False,True,False,False,True,False,False,,,2.0,0,293,170000,0.3179947624392069,2024,a-catena
4620000,3,False,True,False,False,True,False,False,,,0.6666666666666666,0,293,-130000,-0.19005847953216373,2024,a-catena
